volts,time,
2461,12:37:52:889,
2193,12:37:52:894,
2059,12:37:52:899,
2134,12:37:52:904,
2095,12:37:52:909,
2170,12:37:52:915,
2257,12:37:52:919,
2187,12:37:52:924,
2293,12:37:52:929,
2067,12:37:52:934,
2263,12:37:52:938,
2345,12:37:52:945,
2755,12:37:52:949,
2554,12:37:52:954,
2343,12:37:52:959,
2413,12:37:52:964,
2305,12:37:52:969,
2165,12:37:52:976,
2249,12:37:52:979,
2151,12:37:52:983,
2307,12:37:52:989,
2242,12:37:52:994,
2096,12:37:52:998,
2119,12:37:53:003,
2143,12:37:53:008,
2190,12:37:53:013,
2238,12:37:53:018,
2241,12:37:53:024,
1996,12:37:53:028,
1924,12:37:53:033,
1947,12:37:53:040,
1840,12:37:53:044,
2047,12:37:53:049,
1849,12:37:53:054,
1835,12:37:53:059,
1966,12:37:53:064,
2164,12:37:53:071,
2063,12:37:53:074,
2285,12:37:53:079,
1936,12:37:53:084,
2127,12:37:53:089,
2067,12:37:53:094,
1922,12:37:53:099,
2287,12:37:53:104,
1927,12:37:53:109,
1987,12:37:53:114,
2352,12:37:53:119,
2288,12:37:53:124,
2180,12:37:53:130,
2109,12:37:53:134,
2158,12:37:53:139,
2125,12:37:53:143,
1938,12:37:53:148,
2525,12:37:53:168,
2543,12:37:53:169,
2719,12:37:53:170,
2671,12:37:53:171,
2543,12:37:53:174,
2679,12:37:53:178,
2630,12:37:53:184,
2610,12:37:53:189,
2867,12:37:53:194,
2671,12:37:53:199,
2699,12:37:53:204,
2691,12:37:53:211,
2591,12:37:53:214,
2655,12:37:53:218,
2591,12:37:53:224,
2627,12:37:53:229,
2519,12:37:53:234,
2559,12:37:53:242,
2544,12:37:53:244,
2605,12:37:53:249,
2559,12:37:53:254,
2447,12:37:53:259,
2519,12:37:53:264,
2555,12:37:53:269,
2484,12:37:53:274,
2466,12:37:53:279,
2415,12:37:53:284,
2495,12:37:53:289,
2454,12:37:53:294,
2515,12:37:53:299,
2543,12:37:53:304,
2327,12:37:53:309,
2443,12:37:53:314,
2362,12:37:53:319,
2334,12:37:53:324,
2407,12:37:53:328,
2369,12:37:53:333,
2431,12:37:53:338,
2335,12:37:53:343,
2309,12:37:53:348,
2373,12:37:53:353,
2242,12:37:53:358,
2374,12:37:53:365,
2342,12:37:53:368,
2306,12:37:53:373,
2153,12:37:53:378,
2097,12:37:53:383,
2239,12:37:53:388,
2239,12:37:53:396,
2224,12:37:53:398,
2191,12:37:53:403,
2075,12:37:53:408,
2267,12:37:53:413,
2209,12:37:53:418,
2156,12:37:53:423,
2288,12:37:53:428,
2132,12:37:53:433,
2135,12:37:53:438,
2231,12:37:53:443,
2239,12:37:53:448,
2209,12:37:53:453,
2135,12:37:53:459,
2309,12:37:53:463,
2237,12:37:53:468,
2807,12:37:53:473,
2381,12:37:53:478,
2224,12:37:53:483,
1818,12:37:53:489,
2180,12:37:53:493,
2113,12:37:53:498,
2246,12:37:53:503,
2095,12:37:53:508,
2084,12:37:53:513,
